date,open,high,low,close
2008-05-06,4260.0,4271.55,4189.9,4217.5
2008-05-07,4217.9,4227.3,4176.4,4198.6
2008-05-08,4151.9,4164.55,4137.15,4152.3
2008-05-09,4131.2,4161.45,4052.65,4064.1
2008-05-12,4038.95,4074.4,3992.9,4066.3
2008-05-13,4101.4,4126.4,4032.25,4041.5
2008-05-14,4022.1,4087.5,4022.1,4081.3
2008-05-15,4103.85,4161.15,4103.85,4159.3
2008-05-16,4190.9,4204.9,4159.65,4198.1
2008-05-20,4170.5,4189.2,4133.0,4158.9
2008-05-21,4119.6,4186.0,4119.6,4174.6
2008-05-22,4166.55,4166.55,4090.85,4099.85
2008-05-23,4122.9,4134.25,4034.2,4037.35
2008-05-26,3987.45,3998.25,3953.2,3962.5
2008-05-27,4004.55,4007.75,3935.65,3944.2
2008-05-28,3959.2,3996.95,3926.5,3991.5
2008-05-29,4021.0,4021.5,3917.25,3939.4
2008-05-30,3973.25,3992.5,3927.75,3959.65
2008-06-02,3987.85,3987.85,3833.8,3853.55
2008-06-03,3810.4,3837.8,3761.65,3831.65
2008-06-04,3837.5,3849.8,3709.1,3719.4
2008-06-05,3724.75,3782.15,3669.2,3774.6
2008-06-06,3816.75,3816.75,3721.8,3730.5
2008-06-09,3661.7,3661.7,3542.65,3611.8
2008-06-10,3588.6,3622.3,3516.85,3570.6
2008-06-11,3587.65,3643.45,3587.65,3632.35
2008-06-12,3533.3,3651.15,3532.1,3645.6
2008-06-13,3659.3,3659.3,3616.0,3634.8
2008-06-16,3677.8,3716.15,3669.5,3679.75
2008-06-17,3680.85,3761.25,3671.95,3753.55
2008-06-18,3770.5,3781.15,3692.55,3701.2
2008-06-19,3648.45,3668.6,3625.8,3633.45
2008-06-20,3644.25,3652.45,3498.75,3510.95
2008-06-23,3471.8,3486.45,3393.7,3416.6
2008-06-24,3423.15,3446.0,3337.8,3359.05
2008-06-25,3306.0,3406.55,3292.65,3401.05
2008-06-26,3429.95,3441.55,3390.4,3431.0
2008-06-27,3374.2,3374.2,3284.2,3293.65
2008-06-30,3296.85,3310.5,3191.45,3203.35
2008-07-01,3204.4,3213.5,3065.8,3075.8
2008-07-02,3085.55,3237.45,3017.2,3225.0
2008-07-03,3174.6,3174.6,3054.7,3098.7
2008-07-04,3102.0,3188.95,3075.35,3178.15
2008-07-07,3216.6,3269.05,3194.2,3207.8
2008-07-08,3108.05,3208.4,3108.05,3186.0
2008-07-09,3275.1,3328.2,3269.75,3321.4
2008-07-10,3307.4,3344.15,3284.2,3323.65
2008-07-11,3346.9,3346.9,3207.75,3232.2
2008-07-14,3206.95,3281.35,3196.75,3222.8
2008-07-15,3151.25,3163.95,3068.95,3085.5
2008-07-16,3099.9,3130.2,3029.9,3049.85
2008-07-17,3136.35,3160.05,3101.75,3146.15
2008-07-18,3168.75,3257.25,3144.35,3248.05
2008-07-21,3265.15,3296.6,3234.55,3289.8
2008-07-22,3288.9,3372.3,3288.9,3355.9
2008-07-23,3503.35,3561.25,3479.05,3550.8
2008-07-24,3595.15,3607.35,3491.1,3524.5
2008-07-25,3446.75,3496.2,3439.75,3452.45
2008-07-28,3460.7,3486.1,3447.15,3469.4
2008-07-29,3408.05,3429.55,3334.45,3350.45
2008-07-30,3400.0,3457.25,3397.05,3449.75
2008-07-31,3461.9,3465.45,3427.4,3456.7
2008-08-01,3432.6,3529.6,3400.7,3524.25
2008-08-04,3512.25,3555.6,3504.25,3531.15
2008-08-05,3530.4,3621.95,3529.45,3615.9
2008-08-06,3666.45,3702.45,3608.55,3618.6
2008-08-07,3608.05,3664.65,3604.6,3625.7
2008-08-08,3609.45,3644.05,3584.45,3635.0
2008-08-11,3691.6,3710.35,3685.25,3707.8
2008-08-12,3721.3,3721.3,3636.9,3656.1
2008-08-13,3627.25,3673.25,3621.2,3637.7
2008-08-14,3626.85,3626.85,3545.5,3551.3
2008-08-18,3525.9,3561.5,3510.65,3519.3
2008-08-19,3495.75,3513.3,3458.85,3500.75
2008-08-20,3523.3,3549.35,3517.75,3536.9
2008-08-21,3527.45,3527.45,3425.4,3434.0
2008-08-22,3413.0,3465.45,3407.25,3459.75
2008-08-25,3513.7,3514.05,3461.65,3467.4
2008-08-26,3437.0,3473.85,3430.15,3468.9
2008-08-27,3483.7,3483.7,3429.65,3435.25
2008-08-28,3436.25,3440.8,3370.25,3376.8
2008-08-29,3438.5,3493.2,3437.7,3489.05
2008-09-01,3455.2,3491.95,3435.5,3481.55
2008-09-02,3496.55,3610.15,3496.4,3599.7
2008-09-04,3561.95,3584.35,3537.9,3562.7
2008-09-05,3494.25,3514.9,3478.9,3489.35
2008-09-08,3613.3,3619.8,3569.6,3575.05
2008-09-09,3556.5,3580.15,3532.55,3560.5
2008-09-10,3532.1,3559.75,3494.45,3507.4
2008-09-11,3478.5,3479.7,3421.65,3433.1
2008-09-12,3457.1,3457.1,3360.65,3377.9
2008-09-15,3274.85,3274.85,3159.55,3243.6
2008-09-16,3135.0,3235.85,3135.0,3229.1
2008-09-17,3249.65,3249.65,3158.15,3169.0
2008-09-18,3017.5,3176.6,3007.6,3169.75
2008-09-19,3241.05,3323.2,3241.05,3314.35
2008-09-22,3343.45,3343.45,3289.7,3301.15
2008-09-23,3259.35,3302.0,3229.1,3234.0
2008-09-24,3254.8,3291.85,3236.8,3255.95
2008-09-25,3261.6,3261.6,3200.65,3221.7
2008-09-26,3205.3,3205.3,3112.8,3123.75
2008-09-29,3115.0,3115.0,2958.15,3007.9
2008-09-30,2914.6,3087.45,2914.6,3058.6
2008-10-01,3084.0,3119.1,3019.85,3082.8
2008-10-03,3049.45,3075.45,2974.9,2984.3
2008-10-06,2941.4,2941.4,2796.35,2809.35
2008-10-07,2873.45,2894.1,2751.45,2790.9
2008-10-08,2683.65,2709.25,2561.9,2693.9
2008-10-10,2573.35,2589.95,2460.45,2507.55
2008-10-13,2559.55,2665.4,2559.55,2654.35
2008-10-14,2763.7,2778.0,2672.7,2685.05
2008-10-15,2633.6,2634.35,2545.15,2553.3
2008-10-16,2473.6,2549.9,2389.55,2514.7
2008-10-17,2549.55,2563.9,2371.8,2386.45
2008-10-20,2422.0,2479.95,2371.1,2409.9
2008-10-21,2438.2,2504.2,2414.2,2491.45
2008-10-22,2446.65,2456.95,2371.55,2378.2
2008-10-23,2284.75,2377.35,2270.55,2285.4
2008-10-24,2237.8,2240.75,2002.75,2035.25
2008-10-27,2013.3,2022.7,1796.9,1973.7
2008-10-28,2063.5,2102.95,2063.5,2095.55
2008-10-29,2150.35,2150.35,2061.4,2098.5
2008-10-31,2160.3,2242.95,2154.75,2225.7
2008-11-03,2318.8,2350.0,2288.95,2341.0
2008-11-04,2323.25,2426.95,2301.5,2421.25
2008-11-05,2489.7,2490.35,2314.65,2329.85
2008-11-06,2261.8,2331.05,2228.75,2257.05
2008-11-07,2253.3,2332.05,2245.95,2312.25
2008-11-10,2351.0,2445.5,2347.85,2438.1
2008-11-11,2410.15,2415.85,2291.0,2302.4
2008-11-12,2269.35,2320.45,2205.35,2239.3
2008-11-14,2296.55,2299.6,2188.4,2203.55
2008-11-17,2217.3,2217.3,2113.2,2176.3
2008-11-18,2123.7,2151.1,2087.2,2094.25
2008-11-19,2110.1,2147.85,2044.6,2055.2
2008-11-20,1983.5,2006.5,1955.3,1988.45
2008-11-21,2015.65,2080.75,1973.45,2067.2
2008-11-24,2056.4,2098.15,2030.85,2075.05
2008-11-25,2123.55,2125.85,2030.35,2040.4
2008-11-26,2051.65,2096.1,2025.2,2090.75
2008-11-28,2061.95,2102.75,2058.6,2093.1
2008-12-01,2099.5,2147.15,2041.75,2048.4
2008-12-02,1990.2,2036.95,1971.35,2029.4
2008-12-03,2051.25,2053.4,2014.0,2040.6
2008-12-04,2045.45,2137.9,2040.85,2132.65
2008-12-05,2123.45,2159.65,2077.1,2083.1
2008-12-08,2087.2,2173.25,2087.2,2121.65
2008-12-10,2146.2,2218.5,2144.35,2214.6
2008-12-11,2216.85,2234.05,2181.05,2222.35
2008-12-12,2149.75,2240.35,2149.75,2230.25
2008-12-15,2269.0,2299.85,2263.45,2282.35
2008-12-16,2277.3,2343.5,2277.3,2336.85
2008-12-17,2362.2,2362.2,2260.85,2268.4
2008-12-18,2269.35,2352.8,2247.0,2347.35
2008-12-19,2343.3,2388.05,2338.8,2370.35
2008-12-22,2370.0,2395.7,2335.85,2343.3
2008-12-23,2326.85,2327.35,2278.7,2286.1
2008-12-24,2281.6,2281.6,2245.2,2255.1
2008-12-26,2275.5,2288.65,2204.5,2212.5
2008-12-29,2212.1,2265.5,2180.95,2258.85
2008-12-30,2280.45,2314.3,2249.8,2304.4
2008-12-31,2318.45,2329.4,2283.0,2295.75
2009-01-01,2305.95,2363.0,2305.95,2361.2
2009-01-02,2379.65,2405.3,2355.7,2380.4
2009-01-05,2410.4,2438.1,2400.3,2433.5
2009-01-06,2428.35,2456.3,2391.9,2431.25
2009-01-07,2445.75,2454.95,2254.35,2271.4
2009-01-09,2222.0,2270.65,2176.95,2225.45
2009-01-12,2205.45,2209.25,2146.1,2160.25
2009-01-13,2146.65,2180.05,2121.05,2136.6
2009-01-14,2168.4,2211.5,2163.3,2200.65
2009-01-15,2141.25,2150.4,2112.9,2133.3
2009-01-16,2158.9,2193.05,2149.0,2189.45
2009-01-19,2190.2,2218.45,2186.8,2204.3
2009-01-20,2161.4,2181.55,2148.0,2173.35
2009-01-21,2138.4,2165.1,2101.65,2110.85
2009-01-22,2133.3,2134.8,2085.45,2105.4
2009-01-23,2097.5,2109.25,2061.15,2072.85
2009-01-27,2097.35,2134.1,2096.75,2129.45
2009-01-28,2147.0,2191.6,2142.05,2188.35
2009-01-29,2203.3,2205.55,2154.15,2171.9
2009-01-30,2150.85,2212.7,2140.1,2209.05
2009-02-02,2185.45,2192.4,2134.55,2138.8
2009-02-03,2154.0,2173.75,2127.35,2142.6
2009-02-04,2160.55,2179.9,2146.95,2153.25
2009-02-05,2157.45,2159.7,2122.55,2136.55
2009-02-06,2158.75,2187.2,2155.2,2180.7
2009-02-09,2192.55,2240.95,2185.35,2237.25
2009-02-10,2239.7,2266.35,2221.65,2248.9
2009-02-11,2211.35,2250.25,2211.35,2244.25
2009-02-12,2232.35,2250.35,2222.55,2225.8
2009-02-13,2236.95,2278.0,2236.95,2264.3
2009-02-16,2257.65,2259.2,2186.95,2193.3
2009-02-17,2166.8,2166.8,2128.85,2137.35
2009-02-18,2118.5,2159.55,2118.5,2138.85
2009-02-19,2150.25,2159.25,2135.0,2145.85
2009-02-20,2120.05,2122.05,2088.4,2106.1
2009-02-24,2071.65,2104.1,2059.45,2095.9
2009-02-25,2116.5,2133.75,2109.8,2113.1
2009-02-26,2108.55,2128.05,2090.85,2122.4
2009-02-27,2115.35,2120.2,2077.95,2112.85
2009-03-02,2070.05,2078.35,2043.35,2052.9
2009-03-03,2049.8,2060.3,2010.15,2016.3
2009-03-04,2026.55,2035.8,2010.6,2027.4
2009-03-05,2039.6,2039.6,1971.95,1981.2
2009-03-06,1960.45,2005.75,1953.3,2002.4
